GNLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,26,32,34,37,40,43,45,45,13,50,45,40,42,29,21,26,17,9,3,1,0,0,0,0,0,0,0,0,0,LSS
JELS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,16,19,21,25,27,17,21,25,19,28,30,21,23,17,25,12,9,10,4,2,0,0,0,0,0,0,0,0,0,0,LSS
JSLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,14,15,18,25,21,35,40,44,38,30,27,40,44,31,31,16,6,5,6,0,0,0,0,0,0,0,0,0,0,0,LSS
KDLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,29,44,59,67,77,81,84,77,85,89,67,87,75,27,51,42,49,23,14,8,0,0,0,0,0,0,0,0,0,0,LSS
KKLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,15,23,26,29,32,35,38,37,36,36,17,13,35,29,25,15,11,10,7,5,2,1,0,0,0,0,0,0,0,0,LSS
KMLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,15,20,23,26,28,30,29,30,29,16,29,13,17,16,21,19,11,5,3,1,0,0,0,0,0,0,0,0,0,LSS
KNLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,22,45,59,74,83,90,99,100,100,76,63,84,46,57,88,90,36,49,39,31,9,4,0,0,0,0,0,0,0,0,0,LSS
KRLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,13,19,22,25,29,28,33,32,32,31,30,26,29,28,23,17,21,14,11,3,1,0,0,0,0,0,0,0,0,0,LSS
MCLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,12,22,26,33,36,41,40,43,46,31,45,50,42,45,40,36,30,18,17,9,2,0,0,0,0,0,0,0,0,0,0,LSS
MNLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,25,77,84,89,89,91,73,87,83,73,101,94,78,87,89,87,82,53,38,28,5,1,0,0,0,0,0,0,0,0,0,LSS
PKLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,32,43,75,85,90,105,89,73,57,54,111,111,105,95,84,74,58,43,27,17,7,2,0,0,0,0,0,0,0,0,LSS
SPLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,18,23,27,35,30,32,34,38,37,52,42,34,48,37,41,45,37,13,6,9,3,1,0,0,0,0,0,0,0,0,0,LSS
SSLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,13,18,25,31,34,36,37,42,38,33,38,38,29,26,23,15,5,2,1,1,0,0,0,0,0,0,0,0,0,0,LSS
STLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,11,15,19,20,23,24,17,21,15,22,29,10,26,20,20,17,14,9,5,2,0,0,0,0,0,0,0,0,0,0,LSS
TBLS,LSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,12,19,30,30,30,30,30,28,28,30,30,30,30,30,30,30,25,2,5,2,0,0,0,0,0,0,0,0,0,0,LSS
PCUF,CUFG,8,8,9,9,9,7,8,8,7,8,8,9,9,8,7,8,7,7,7,7,8,7,8,7,7,8,8,10,6,6,9,19,19,19,19,18,19,19,18,19,19,18,18,18,20,20,19,18,CoGen
PCUF,CUFK,5,0,0,0,0,0,0,22,21,22,21,20,21,21,21,22,21,22,21,22,24,22,22,22,22,22,23,29,21,21,22,22,6,3,3,3,4,5,5,5,19,22,21,21,21,23,22,22,CoGen
